CODIGO ASEO;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;ANT/DES/ESQ. ;COORD UTM ETRS89 X;COORD UTM ETRS89 Y;FECHA PUESTA EN SERVICIO;LATITUD;LONGITUD;NOMBRE;;;;;;;;;;;;;;;;;;;
020035ASW;1;CENTRO;PLAZA;ISABEL II;7;;439839.85;4474444.74;16/01/2017;40.4184554;-3.7091287;PLAZA ISABEL II,7;;;;;;;;;;;;;;;;;;;
020034ASW;1;CENTRO;PLAZA;EMPERADOR CARLOS V;9;;441226.39;4473338.55;19/12/2016;40.4085893;-3.692684;PLAZA EMPERADOR CARLOS V,9;;;;;;;;;;;;;;;;;;;
020037AS;15;CIUDAD LINEAL;CALLE;VIRGEN DEL SAGRARIO;3;;445079.95;4476185.57;17/04/2024;40.433804;-3.647480;CALLE VIRGEN DEL SAGRARIO,3;;;;;;;;;;;;;;;;;;;
020059AS;1;CENTRO;PARQUE;MADRID RIO;;"CERCANO A QUIOSCO ""BONAPARTE""";438780.68;4474293.68;10/07/2017;40.4170173;-3.721598;PARQUE MADRID RIO,;;;;;;;;;;;;;;;;;;;
020022AS;1;CENTRO;PASEO;RECOLETOS;17;;441260.39;4474790.57;08/12/2017;40.4216722;-3.6924174;PASEO RECOLETOS,17;;;;;;;;;;;;;;;;;;;
020093AS;1;CENTRO;PASEO;PRADO;10;;441116.79;4474010.22;31/10/2018;40.4146323;-3.6940378;PASEO PRADO,10;;;;;;;;;;;;;;;;;;;
020054AS;1;CENTRO;CALLE;GENOVA;29;;441332.86;4475201.73;14/02/2019;40.4253813;-3.6916011;CALLE GENOVA,29;;;;;;;;;;;;;;;;;;;
020027ASW;2;ARGANZUELA;GLORIETA;EMBAJADORES;7;;440342.85;4472913.06;19/01/2017;40.4046935;-3.7030565;GLORIETA EMBAJADORES,7;;;;;;;;;;;;;;;;;;;
020003AS;2;ARGANZUELA;CALLE;MENDEZ ALVARO ;5;;441722.79;4472562.06;19/01/2017;40.4016292;-3.6867629;CALLE MENDEZ ALVARO ,5;;;;;;;;;;;;;;;;;;;
020002AS;2;ARGANZUELA;CALLE;FERROCARRIL;1;;441077.37;4472466.17;30/10/2017;40.40072;-3.6943594;CALLE FERROCARRIL,1;;;;;;;;;;;;;;;;;;;
020006AS;2;ARGANZUELA;PASEO;YESERIAS;44;;440011.97;4472107.71;06/11/2017;40.3974147;-3.7068797;PASEO YESERIAS,44;;;;;;;;;;;;;;;;;;;
020009AS;2;ARGANZUELA;PASEO;JUAN ANTONIO VALLEJO-NÁJERA;15;;440176.88;4472528.56;20/11/2017;40.4012178;-3.7049761;PASEO JUAN ANTONIO VALLEJO-NÁJERA,15;;;;;;;;;;;;;;;;;;;
020007AS;2;ARGANZUELA;PASEO;CHOPERA;33;;440581.98;4471797.53;23/11/2017;40.3946613;-3.7001344;PASEO CHOPERA,33;;;;;;;;;;;;;;;;;;;
020008AS;2;ARGANZUELA;CALLE;MAESTRO ARBOS;3;PLAZA LEGAZPI;441023.20;4471332.67;24/11/2017;40.390505;-3.6948927;CALLE MAESTRO ARBOS,3;;;;;;;;;;;;;;;;;;;
020004AS;2;ARGANZUELA;GLORIETA;SANTA MARIA DE LA CABEZA;13;;440606.00;4472494.28;19/12/2017;40.4009397;-3.6999164;GLORIETA SANTA MARIA DE LA CABEZA,13;;;;;;;;;;;;;;;;;;;
020001ASW;2;ARGANZUELA;CALLE;MENDEZ ALVARO ;2;;441216.20;4473171.35;07/03/2018;40.4070824;-3.6927886;CALLE MENDEZ ALVARO ,2;;;;;;;;;;;;;;;;;;;
020055AS;2;ARGANZUELA;CALLE;VILLARROBLEDO;15;;442187.38;4471581.68;13/03/2018;40.3928298;-3.6811993;CALLE VILLARROBLEDO,15;;;;;;;;;;;;;;;;;;;
020025ASW;2;ARGANZUELA;CALLE;TOLEDO;127;;439607.82;4473074.09;03/04/2018;40.4060911;-3.7117334;CALLE TOLEDO,127;;;;;;;;;;;;;;;;;;;
020039AS;3;RETIRO;PASEO;INFANTA ISABEL;9;;441506.66;4473234.04;08/05/2017;40.4076676;-3.6893715;PASEO INFANTA ISABEL,9;;;;;;;;;;;;;;;;;;;
020094AS;3;RETIRO;PLAZA;CONDE DE CASAL;7;;443143.45;4473054.18;29/11/2017;40.4061607;-3.6700663;PLAZA CONDE DE CASAL,7;;;;;;;;;;;;;;;;;;;
020092AS;3;RETIRO;PLAZA;NIÑO JESUS;1;;442657.53;4473635.80;17/03/2018;40.4113669;-3.675845;PLAZA NIÑO JESUS,1;;;;;;;;;;;;;;;;;;;
020049AS;3;RETIRO;CALLE;JUAN ESPLANDIU;2;;443765.25;4474132.69;04/07/2018;40.4159188;-3.6628341;CALLE JUAN ESPLANDIU,2;;;;;;;;;;;;;;;;;;;
020029AS;3;RETIRO;CALLE;DOCTOR ESQUERDO;66;;443156.45;4473980.16;01/11/2018;40.4145033;-3.6699959;CALLE DOCTOR ESQUERDO,66;;;;;;;;;;;;;;;;;;;
020097ASW;4;SALAMANCA;CALLE;SERRANO;32;;441623.85;4475185.29;14/12/2016;40.4252537;-3.6881695;CALLE SERRANO,32;;;;;;;;;;;;;;;;;;;
