ID,DESC_CLASI,COD_BARRIO,BARRIO,COD_DISTRI,DISTRITO,ESTADO,COORD_GIS_,COORD_GI_1,SISTEMA_CO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIR_AUX,NDP,F_INSTALA,COD_INT,CONTR_COD,UBICACION,USO,MODELO,DIRECCION,x_etrs89_utm30n,y_etrs89_utm30n,longitude,latitude
529382,Fuentes de beber,015,UNIVERSIDAD,01,CENTRO,OPERATIVO,439892.5,4475419.8,ETRS89,40.42724307,-3.70860028,PLAZA,COMENDADORAS,1,28015,Plaza Comendadoras,11006373,,FUE_01_0001,FUE25,ZV,PERSONAS,OTRO,"PLAZA COMENDADORAS, 1",439892.5,4475419.8,-3.708600289121081,40.42724294023843
529385,Fuentes de beber,011,PALACIO,01,CENTRO,OPERATIVO,439636.432,4473693.57,ETRS89,40.41167387,-3.71145498,PLAZA,CARROS,3,28005,Plaza de los Carros,11000945,,FUE_01_0009,FUE25,ZV,PERSONAS,MU-37C,"PLAZA CARROS, 3",439636.432,4473693.57,-3.7114549862332997,40.41167373973351
529386,Fuentes de beber,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,444028.256,4479425.226,ETRS89,40.46361452,-3.66020048,CALLE,DUQUESA DE CASTREJON,17,28033,Bulevar,11118039,2024/12/03 00:00:00,FUE_16_0180,FUE25,VP,PERSONAS,METROPOLIS,"CALLE DUQUESA DE CASTREJON, 17",444028.256,4479425.226,-3.6602004886853776,40.463614390580375
529387,Fuentes de beber,012,EMBAJADORES,01,CENTRO,OPERATIVO,440273.265,4473434.89,ETRS89,40.40938949,-3.70392542,CALLE,MESON DE PAREDES,50,28012,Fuente de Cabestros,11002149,1934/01/01 00:00:00,FUE_01_0032,FUE25,VP,PERSONAS,PATRIMONIO_HISTORICO,"CALLE MESON DE PAREDES, 50",440273.265,4473434.89,-3.7039254256331167,40.40938936551845
529389,Fuentes de beber,062,CUATRO CAMINOS,06,TETUAN,OPERATIVO,440740.973,4478248.922,ETRS89,40.45278993,-3.69886232,AVENIDA,GENERAL PERON,4,28020,"JARDINES PERÃN, JUNTO A ZONA INFANTIL",11029769,2023/07/25 00:00:00,FUE_06_0056,FUE25,ZV,PERSONAS,METROPOLIS,"AVENIDA GENERAL PERON, 4",440740.973,4478248.922,-3.698862324418919,40.45278979967567
529390,Fuentes de beber,062,CUATRO CAMINOS,06,TETUAN,OPERATIVO,440926.516,4478258.093,ETRS89,40.45288575,-3.69667515,AVENIDA,GENERAL PERON,13,28020,"JARDINES PERÃN, JUNTO A TERRAZA RESTAURANTE",11029984,2023/07/25 00:00:00,FUE_06_0021,FUE25,ZV,PERSONAS,METROPOLIS,"AVENIDA GENERAL PERON, 13",440926.516,4478258.093,-3.69667515823444,40.45288562372332
529391,Fuentes de beber,064,ALMENARA,06,TETUAN,OPERATIVO,441431.81,4480222.904,ETRS89,40.47062136,-3.69089777,CALLE,MARTIRES DE LA VENTILLA,29,28029,,11031735,,FUE_06_0035,FUE25,ZV,PERSONAS,FUENTE_ACCESIBLE,"CALLE MARTIRES DE LA VENTILLA, 29",441431.81,4480222.904,-3.6908977744474223,40.47062123661449
529392,Fuentes de beber,065,VALDEACEDERAS,06,TETUAN,OPERATIVO,439967.773,4479510.33,ETRS89,40.46409771,-3.70809958,CALLE,PANIZO,68,28039,Parque Agustin Rodriguez Sahagun,20012728,,FUE_06_0006,FUE25,ZV,PERSONAS,MU-37A,"CALLE PANIZO, 68",439967.773,4479510.33,-3.7080995818941545,40.46409757904933
529393,Fuentes de beber,065,VALDEACEDERAS,06,TETUAN,OPERATIVO,440149.929,4480122.572,ETRS89,40.46962616,-3.70600889,PASEO,DIRECCION,277,28029,,11035117,,FUE_06_0067,FUE25,VP,PERSONAS,MU-37A,"PASEO DIRECCION, 277",440149.929,4480122.572,-3.7060088991018723,40.46962603451842
529394,Fuentes de beber,065,VALDEACEDERAS,06,TETUAN,OPERATIVO,440439.032,4479973.63,ETRS89,40.46830521,-3.70258481,CALLE,JIRAFA,1,28029,CV CALLE ESPERANZA SÃNCHEZ CARRASCOSA,11034612,,FUE_06_0062,FUE25,VP,PERSONAS,MU-37A,"CALLE JIRAFA, 1",440439.032,4479973.63,-3.702584816743294,40.46830508607559
